id;protocolo;titulo;conteudo;interação;data;prorrogou?;orgao;status;situação;uf;município;esfera;nível federativo;nome da pasta do anexo;nome do anexo
;201815591;;Em acordo com a lei 12.527/2011, solicito os cronogramas executivo-financeiros das obras realizadas em parceria com o FNDE que se encontram no seguinte link: https://goo.gl/YsafMn;Pedido;02/03/2018;;Secretaria de Educação;Não Classificado;Em tramitação;PE;;Executivo;Estadual;;
;00099.000387/2018-0;;"Prezada(o)(s),


Em acordo com a lei 12.527/2011, solicito os cronogramas executivo-financeiros das obras realizadas em parceria com o FNDE que se encontram no seguinte link: https://docs.google.com/spreadsheets/d/18KKaVYxOq6fFoP0Tc7P5MuaMN_bEGE3EM9iJn8bXROk/edit#gid=0


Favor encaminhá-los em distintos arquivos PDF, por favor.


Atenciosamente,

Transparência Brasil";Pedido;03/03/2018;;Controladoria;Não Classificado;Em tramitação;PR;;Executivo;Estadual;;
;00717.000002/2018-60;;"Prezada(o)(s), 

Em acordo com a lei 12.527/2011, solicito os cronogramas executivo-financeiros das obras realizadas em parceria com o FNDE que se encontram no seguinte link: https://docs.google.com/spreadsheets/d/1Oahn-1WWHBHLUiP0KjiUQHQftZ8agSUhnxeziKYWJos/edit#gid=0 

O documento também encontra-se anexado, para facilitar. 

Favor encaminhá-los em distintos arquivos PDF, por favor. 

Atenciosamente, 
Transparência Brasil 
";Pedido;02/03/2018;;SEE - Secretaria de Estado de Educação e Esporte;Não Classificado;Em tramitação;AC;;Executivo;Estadual;;
;380/2018;;Prezada(o)(s), Em acordo com a lei 12.527/2011, solicito o cronograma executivo-financeiro da seguinte obra realizada em parceria com o FNDE: ID: 1021872 Nome: (UE) Ampliação do 4º(quarto) pavimento do predio SEDE do Campus Governador Lamenha Filho da UNCISAL Termo de Convênio: indisponível no SIMEC Cidade: Maceió Favor encaminhá-lo em arquivos PDF, por favor. Atenciosamente, Transparência Brasil;Pedido;06/03/2018;;Secretaria de Estado da Educação;Não Classificado;Em tramitação;AL;;Executivo;Estadual;;
;143/2018;;Prezada(o)(s), Em acordo com a lei 12.527/2011, solicito os cronogramas executivo-financeiros das obras realizadas em parceria com o FNDE que se encontram no seguinte link :http://bit.ly/2oIiLuo Favor encaminhá-los em arquivos PDF INDIVIDUAIS, por favor. Atenciosamente, Transparência Brasil;Pedido;01/03/2018;;SEDUC;Não Classificado;Em tramitação;AM;;Executivo;Estadual;;
;1292726;;"Prezada(o)(s),
Em acordo com a lei 12.527/2011, solicito os cronogramas executivo-financeiros das obras realizadas em
parceria com o FNDE que se encontram no seguinte link: http://bit.ly/2oK5am1
Favor encaminhá-los em distintos arquivos PDF, por favor.
Peço, também, que desconsidere o pedido de protocolo 1292710
Atenciosamente,
Transparência Brasil";Pedido;02/03/2018;;Ouvidoria Geral da Bahia;Não Classificado;Em tramitação;BA;;Executivo;Estadual;;
;2018.0306.155838-40;;"Prezada(o)(s), 
Em acordo com a lei 12.527/2011, solicito os cronogramas executivo-financeiros das obras realizadas em 
parceria com o FNDE que se encontram no seguinte link: https://docs.google.com/spreadsheets/d/1SBY1Owupr1dJOqB_TDffxpBi_tgvcA3Sak2Hotqj9HI/edit#gid=0 
Favor encaminhá-los em distintos arquivos PDF, por favor. 
Peço, também, que desconsidere o pedido de protocolo 1292710 
Atenciosamente,";Pedido;06/03/2018;;Universidade Estadual de Goiás;Não Classificado;Em tramitação;GO;;Executivo;Estadual;;
;"	1 00043320189";;"Prezada(o)(s), 

Em acordo com a lei 12.527/2011, solicito os cronogramas executivo-financeiros das obras realizadas em parceria com o FNDE que se encontram no seguinte link: https://docs.google.com/spreadsheets/d/1imC9YxrLRoqJ_b_PTWW8SxhACno2lcW94YNodHu4OKU/edit#gid=0";Pedido;02/03/2018;;Secretaria do Estado da Educação;Não Classificado;Em tramitação;MA;;Executivo;Estadual;;
;100527/2018;;"Prezada(o)(s), 

Em acordo com a lei 12.527/2011, solicito os cronogramas executivo-financeiros das obras realizadas em parceria com o FNDE que se encontram no seguinte link: https://goo.gl/y5GEdb 

Favor encaminhá-los em distintos arquivos PDF, por favor. 

Atenciosamente, 
Transparência Brasil";Pedido;02/03/2018;;Ouvidoria Setorial SEDUC-MT;Não Classificado;Em tramitação;MT;;Executivo;Estadual;;
;20181982;;Prezada(o)(s), Em acordo com a lei 12.527/2011, solicito os cronogramas executivo-financeiros das obras realizadas em parceria com o FNDE que se encontram no seguinte link: https://goo.gl/Bkqnaz Favor encaminhá-los em distintos arquivos PDF, por favor. Atenciosamente, Transparência Brasil;Pedido;05/03/2018;;Secretaria de Estado da Educação - SED;Não Classificado;Em tramitação;MS;;Executivo;Estadual;;
