id;protocolo;titulo;conteudo;interação;data;prorrogou?;orgao;status;situação;uf;município;esfera;nível federativo;nome da pasta do anexo;nome do anexo
1;567;Acesso a documentos das licitações da USP;"Onde é possível ter acesso aos editais, contratos e resultados das licitações realizadas pela Universidade de São Paulo?

No portal de Transparência da USP, mesmo quando logada no acesso restrito (que requer um cadastro), não consigo obter todos os documentos citados acima.

Conforme consta na Lei 12.527/2011:

""Art. 8o É dever dos órgãos e entidades públicas promover, independentemente de requerimentos, a divulgação em local de fácil acesso, no âmbito de suas competências, de informações de interesse coletivo ou geral por eles produzidas ou custodiadas. 
(...)
IV - informações concernentes a procedimentos licitatórios, inclusive os respectivos editais e resultados, bem como a todos os contratos celebrados;""";Pedido;01/07/2018;;Universidade de São Paulo ;;Parcialmente Atendido;SP;;Executivo;Estadual;;
2;567;Acesso a documentos das licitações da USP;"A Universidade de São Paulo disponibiliza os dados contábeis e financeiros através do Portal da Transparência (http://www.transparencia.usp.br/), na aba “ Administração e Finanças”, item “Pregões” - clicando na seta indicativa da unidade, você terá acesso a lista dos pregões; clicando o “número/ano” você terá acesso ao descritivo e situação de cada pregão. bem como o acesso ao edital.

Para acessar os contratos será necessário fazer pedido específico, ou seja, um para cada unidade (escola, faculdade e/ou instituto) da Universidade, indicando os números dos pregões/ano. Isto se faz necessário em virtude de que cada unidade USP gerencia seus processos de licitações.

Para qualquer outra informação relativa à Universidade de São Paulo prevista na Lei 12.527/2011, por favor, faça novo pedido em formulário digital disponível em www.transparencia.usp.br.


Atenciosamente,
SIC - Serviço de Informação ao Cidadão
Universidade de São Paulo

Caso não fique satisfeito com a resposta ou com o serviço, recomendamos os procedimentos abaixo indicados:
1) NOVA SOLICITAÇÃO - Formule uma nova solicitação de informação ao SIC, esclarecendo melhor o solicitado. www.sic.sp.gov.br 
2) CONTATE UMA OUVIDORIA - Formalize uma reclamação e/ou sugestão junto à Ouvidoria do órgão que prestou o atendimento. https://www.ouvidoria.sp.gov.br/Portal/PossoAjudar.aspx

3) Entre com um recurso: [Link]

O PRAZO para entrar com recurso é de 40 (quarenta) dias, a contar da data do protocolo da solicitação.

Atenciosamente,
SIC.SP
Governo do Estado de São Paulo";Resposta do Pedido;06/07/2018;;Universidade de São Paulo ;;Parcialmente Atendido;SP;;Executivo;Estadual;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
