id;protocolo;titulo;conteudo;interacao;data;prorrogado;orgao;atendimento;situacao;uf;municipio;poder;esfera;pasta_anexos;nome_anexos
;010617L2003E;Câmara Legislativa do Distrito Federal;Prezados, Qual a previsão do número de vagas aprovadas e cargos para o próximo concurso da Câmara Legislativa do Distrito Federal? Haverá para consultor legislativo em desenvolvimento urbano? Se sim, quantas vagas?;Pedido;2017-06-01;;Câmara Legislativa do Distrito Federal;Não Atendido;Finalizado;DF;;Legislativo;Estadual;;
;010617L2003E;Câmara Legislativa do Distrito Federal;"Em atenção ao seu pedido, informamos que a Comissão Organizadora do Concurso Público concluiu os estudos para a realização do próximo concurso, bem como encaminhou o processo para deliberação da Mesa Diretora.

Dessa forma, solicitamos aguardar a aprovação do relatório quando será divulgada a relação oficial de vagas.

";Resposta do Pedido;2017-06-12;;Câmara Legislativa do Distrito Federal;Não Atendido;Finalizado;DF;;Legislativo;Estadual;;
;020317K0714E;Câmara Legislativa do Distrito Federal;Quereria informações sobre o possível concurso de técnicos e analistas da Câmara Legislativa do Distrito Federal.;Pedido;2017-03-02;;Câmara Legislativa do Distrito Federal;Parcialmente Atendido;Finalizado;DF;;Legislativo;Estadual;;
;020317K0714E;Câmara Legislativa do Distrito Federal;"

Em atenção ao seu pedido, informamos que a Comissão Organizadora do Concurso Público está concluindo os estudos para a realização do próximo concurso e permanece a previsão de lançamento do edital até o final do primeiro semestre deste ano.

";Resposta do Pedido;2017-03-29;;Câmara Legislativa do Distrito Federal;Parcialmente Atendido;Finalizado;DF;;Legislativo;Estadual;;
;020317TA1104E;Câmara Legislativa do Distrito Federal;Como anda a entrada do processo de pensão alimentícia que dei entrada dia 11 de novembro de 2016;Pedido;2017-03-02;;Câmara Legislativa do Distrito Federal;Parcialmente Atendido;Finalizado;DF;;Legislativo;Estadual;;
;020317TA1104E;Câmara Legislativa do Distrito Federal;"Agradecemos seu contato e solicitamos que a senhora entre em contato com a Defensoria Pública do Distrito Federal para verificar o andamento do seu processo de pensão alimentícia. Seguem os contatos da Defensoria: 
Link: http://www.defensoria.df.gov.br/?page_id=2121
Telefones: (61) 2196-4300 (Geral Defensoria Pública)
                    (61) 3348-8769 (Atendimento Jurídico Cidadão Câmara Legislativa)
";Resposta do Pedido;2017-03-10;;Câmara Legislativa do Distrito Federal;Parcialmente Atendido;Finalizado;DF;;Legislativo;Estadual;;
;020517L1323E;Câmara Legislativa do Distrito Federal;Gostaria de saber se o concurso público para provimento de cargos efetivos na CLDF sairá mesmo até julho, conforme previsão desta casa.;Pedido;2017-05-02;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;020517L1323E;Câmara Legislativa do Distrito Federal;Em atenção ao seu pedido, informamos que a Comissão Organizadora do Concurso Público concluiu os estudos para a realização do próximo concurso, bem como encaminhou o processo para deliberação do Gabinete da Mesa Diretora para deliberação, permanecendo a previsão de lançamento do edital até o final do primeiro semestre deste ano.;Resposta do Pedido;2017-05-18;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;020617L0016E;Câmara Legislativa do Distrito Federal;Quero a informação do ultimo candidato ao cargo do Técnico Legislativo do concurso de 2005 nomeado pela CLDF ? Qual o valor da remuneração do cargo de técnico atualmente ?;Pedido;2017-06-02;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
;020617L0016E;Câmara Legislativa do Distrito Federal;"Em atenção a seu pedido, informamos que na lista de aprovados do último concurso para o cargo de Técnico Legislativo, categoria Técnico Legislativo, foram nomeados 27 candidatos na lista geral e 8 na de deficientes.

A remuneração inicial do cargo é de R$ 10.143,07. 

";Resposta do Pedido;2017-06-12;;Câmara Legislativa do Distrito Federal;Atendido;Finalizado;DF;;Legislativo;Estadual;;
